[03-Nov-2021 11:07:11 UTC] PHP Warning:  require(/Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/WCAdminSharedSettings.php): failed to open stream: No such file or directory in /Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/vendor/jetpack-autoloader/class-php-autoloader.php on line 87
[03-Nov-2021 11:07:11 UTC] PHP Fatal error:  require(): Failed opening required '/Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/WCAdminSharedSettings.php' (include_path='.:/usr/local/Cellar/php/7.4.6_1/share/php/pear') in /Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/vendor/jetpack-autoloader/class-php-autoloader.php on line 87
[03-Nov-2021 11:07:12 UTC] PHP Notice:  is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:07:12 UTC] PHP Notice:  is_singular was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:07:12 UTC] PHP Notice:  is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:07:12 UTC] PHP Notice:  is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:07:24 UTC] PHP Warning:  require(/Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/WCAdminSharedSettings.php): failed to open stream: No such file or directory in /Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/vendor/jetpack-autoloader/class-php-autoloader.php on line 87
[03-Nov-2021 11:07:24 UTC] PHP Fatal error:  require(): Failed opening required '/Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/WCAdminSharedSettings.php' (include_path='.:/usr/local/Cellar/php/7.4.6_1/share/php/pear') in /Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/vendor/jetpack-autoloader/class-php-autoloader.php on line 87
[03-Nov-2021 11:07:24 UTC] PHP Notice:  is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:07:24 UTC] PHP Notice:  is_singular was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:07:24 UTC] PHP Notice:  is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
